Identifiant de la taxe pour le rapport particulier;Nom de la taxe;Article;Corpus;Organisme affectataire;Classification du Conseil des prélèvements obligatoires;2007;2008;2009;2010;2011;2012 (p);2013 (p)
31;Participation des employeurs occupant 10 salariés ou plus au financement du congé individuel de formation des salariés (0,2% des rémunérations);article L. 951-1;code du travail;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;;;;;;;
31;Participation des employeurs occupant 10 salariés ou plus au financement du congé individuel de formation des salariés (0,2% des rémunérations);article L. 951-1-1;code du travail;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;;;;;;;
30;Participation des employeurs occupant moins de 10 salariés au développement de la formation professionnelle continue;article L. 952-1;code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;;;;;;
34;Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale;article L. 953-1;code du travail;Fonds d'assurance formation (FAF) des professions concernées;Contribution rendue obligatoire par l'État;;;;;;;
30;Participation des employeurs occupant moins de 10 salariés au développement de la formation professionnelle continue;article R. 6331-2 (2°);code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;430;421;;;;
31;Participation des employeurs occupant 10 salariés ou plus au financement du congé individuel de formation des salariés (0,2% des rémunérations);article R. 6331-9 (1°);code du travail;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;;720;;716;;;
40;Contribution pour le financement des contrats et périodes de professionnalisation et du droit individuel à la formation à 0,15% et 0,5%;article R. 6331-9 (2°) et R. 6331-2 (1°);code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;1940;;1968;;;
9880;Prélèvement sur les contrats participation et intéressement en déshérence;Livre III de la partie III;code du travail;Fonds de solidarité vieillesse;Réaffectation aux organismes de sécurité sociale;;;;10;0;0;0
9890;Cotisation des chambres d'agriculture aux organisations représentatives de communes forestières;article L. 141-4;code forestier;Fonds national de péréquation et d'action professionnelle des chambres d'agriculture;Monde consulaire;;;;0;;;
9891;Cotisation des chambres d'agriculture au Centre national de la propriété forestière;article L. 221-9;code forestier;Fonds national de péréquation et d'action professionnelle des chambres d'agriculture;Monde consulaire;;;;0;;;
9872;Prélèvement sur les contrats d'assurance-vie en déshérence;article L. 1126-1 5°;code général de la propriété des personnes publiques;Fonds de réserve pour les retraites;Affectation initiale aux organismes de sécurité sociale;10;10;10;10;;;
9872;Prélèvement sur les contrats d'assurance-vie en déshérence;article L. 1126-1 5°;code général de la propriété des personnes publiques;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;10;10;10
55;Versement de transport dû par les entreprises de plus de 9 salariés implantées en province;article L. 2333-64;code général des collectivités territoriales;Autorités organisatrices des transports urbains;Agence locale;2746;2787;2794;2966;3396;3362;3453
206;Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France;article L. 2531-2;code général des collectivités territoriales;Syndicat des transports d'Ile-de-France;Agence locale;2049;2971;2979;3025;3296;3262;3395
183;Contribution de solidarité sur les billets d'avion;§ VI de l'article 302 bis K;code général des impôts;Fonds de solidarité pour le développement;Agence de l'État;164;173;162;163;175;173;175
181;Taxes sur les nuisances sonores aéroportuaires;art 1609 quaterdecies section 6 bis;code général des impôts;Personnes publiques ou privées exploitant des aérodromes;Agence locale;51;;;;;;
9951;Taxe sur les conventions d'assurances sur les contrats assurance-maladie;article 1001 2° bis;code général des impôts;Caisse nationale d'allocations familiales;Réaffectation aux organismes de sécurité sociale;;;;;;;
9951;Taxe sur les conventions d'assurances sur les contrats assurance-maladie;article 1001 2° bis;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;;;;
9951;Taxe sur les conventions d'assurances sur les contrats assurance-maladie;article 1001 2° bis;code général des impôts;Multiples (social);Réaffectation aux organismes de sécurité sociale;;;;0;1066;2000;2060
1140;Taxe sur les véhicules de société;article 1010;code général des impôts;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;753;;;;;
1586;Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France;article 1531;code général des impôts;Agence de financement des infrastructures de transport de France;Agence de l'État;;;;0;0;0;0
1586;Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France;article 1531;code général des impôts;Autorités organisatrices des transports urbains;Agence locale;;;;0;0;0;0
537;Taxe annuelle d'habitation sur les résidences mobiles terrestres;article 1595 quater;code général des impôts;Fonds départemental d'aménagement, de maintenance et de gestion des aires d'accueil des gens du voyage;Agence locale;0;0;0;0;;;
1583;Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP;article 1599 quater A bis;code général des impôts;Agence de financement des infrastructures de transport de France;Agence de l'État;;;;0;;;
1583;Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP;article 1599 quater A bis;code général des impôts;Multiples (mixte);Agence de l'État;;;60;;;;
1583;Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP;article 1599 quater A bis;code général des impôts;Société du Grand Paris;Agence de l'État;;;;60;60;60;60
38;Contribution au développement de l'apprentissage;article 1599 quinquies A;code général des impôts;Fonds régionaux de l'apprentissage et de la formation professionnelle continue;Contribution rendue obligatoire par l'État;661;690;720;724;734;758;776
9965;Taxe due par les concessionnaires de mines d'or, les amodiataires des concessions de mines d'or et les titulaires de permis et d'autorisations d'exploitation de mines d'or exploitées en Guyane (taxe additionnelle aurifère);article 1599 Quinquies B;code général des impôts;Conservatoire de la biodiversité en Guyane;Agence locale;;;;0;0;0;0
47;Taxe pour frais de chambres de commerce et d'industrie;article 1600;code général des impôts;Assemblée permanente des chambres de commerce et d'industrie;Monde consulaire;;;;;;;
47;Taxe pour frais de chambres de commerce et d'industrie;article 1600;code général des impôts;Chambres de commerce et de l'industrie;Monde consulaire;;;;;;;
47;Taxe pour frais de chambres de commerce et d'industrie;article 1600;code général des impôts;Chambres régionales de commerce et d'industrie;Monde consulaire;;;;;;;
47;Taxe pour frais de chambres de commerce et d'industrie;article 1600;code général des impôts;Multiples (consulaire et professionnel);Monde consulaire;1161;1215;1275;1196;;;
9979;Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région;article 1600 (I et II);code général des impôts;Chambres régionales de commerce et d'industrie;Monde consulaire;;;;0;517;517;517
9978;Taxe additionnelle à la cotisation sur la valeur ajoutée des entreprises pour frais de chambres de commerce et d'industrie de région;article 1600 (III);code général des impôts;Chambres régionales de commerce et d'industrie;Monde consulaire;;;;;777;859;819
9978;Taxe additionnelle à la taxe professionnelle pour frais de chambres de commerce et d'industrie de région;article 1600 (III);code général des impôts;Chambres régionales de commerce et d'industrie;Monde consulaire;0;0;0;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 1600-0 F bis;code général des impôts;Caisse d'amortissement de la dette sociale;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 1600-0 F bis;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 1600-0 F bis;code général des impôts;Caisse nationale d'assurance vieillesse des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 1600-0 F bis;code général des impôts;Fonds de réserve pour les retraites;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 1600-0 F bis;code général des impôts;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article 1600-0 F bis;code général des impôts;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;2863;2221;2085;2599;4862;6633
46;Taxe pour frais de chambres de métiers et de l'artisanat;article 1601;code général des impôts;Assemblée permanente des chambres de métiers et d'artisanat;Monde consulaire;;;;;;;
46;Taxe pour frais de chambres de métiers et de l'artisanat;article 1601;code général des impôts;Chambres départementales et régionales de métiers et de l'artisanat;Monde consulaire;;;;;;;
46;Taxe pour frais de chambres de métiers et de l'artisanat;article 1601;code général des impôts;Multiples (consulaire et professionnel);Monde consulaire;169;177;182;302;;;
9866;Taxe pour frais de chambre des métiers;article 1601;code général des impôts;Chambres régionales des métiers;Monde consulaire;;;;;;;
9980;Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambre régionale de métiers et d'artisanat;article 1601;code général des impôts;Assemblée permanente des chambres de métiers et d'artisanat;Monde consulaire;;;;;;;
9980;Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambre régionale de métiers et d'artisanat;article 1601;code général des impôts;Chambres régionales de métiers et de l'artisanat;Monde consulaire;;;;;;;
9980;Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambre régionale de métiers et d'artisanat;article 1601;code général des impôts;Multiples (consulaire et professionnel);Monde consulaire;;;;0;246;258;264
67;Majoration de 10% du montant maximum du droit fixe de la taxe pour frais de chambres de métiers;article 1601 A;code général des impôts;Fonds national de promotion du commerce et de l'artisanat;Agence de l'État;9;9;10;10;10;10;10
1281;Contribution visée au II de l'article 8 de l'ordonnance n° 2003-1213 du 18 décembre 2003;article 1601 B;code général des impôts;Fonds d'assurance formation (FAF) des chefs d'entreprise inscrits au répertoire des métiers, y compris FAF régionaux (sauf Alsace);Contribution rendue obligatoire par l'État;33;34;37;38;;;
44;Taxe, additionnelle à la taxe foncière sur les propriétés non baties,  pour frais de chambres d'agriculture;article 1604;code général des impôts;Chambres départementales d'agriculture;Monde consulaire;280;282;287;287;292;297;297
9952;Taxe sur la cession à titre onéreux des terrains nus ou des droits relatifs à des terrains nus rendus constructibles du fait de leur classement;article 1605 nonies;code général des impôts;Agence de services et de paiement;Agence de l'État;;;;0;3;2;10
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Guadeloupe";Agence de l'État;;;;2;2;2;2
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Martinique";Agence de l'État;;;;2;2;2;2
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement du Puy de Dôme;Agence locale;;;;3;3;3;3
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier Argenteuil-Bezons;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier d'aménagement de la Guyane;Agence de l'État;;;;2;2;2;2
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de Bretagne;Agence de l'État;;;;15;19;16;20
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de la région Ile-de-France;Agence de l'État;;;;3;73;3;72
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de la Réunion;Agence de l'État;;;;7;7;7;7
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de l'Ain;Agence locale;;;;2;3;3;3
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de Languedoc Roussillon;Agence locale;;;;14;18;18;18
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de Lorraine;Agence de l'État;;;;11;23;23;23
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de l'Ouest Rhône-Alpes;Agence de l'État;;;;18;18;18;18
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de Normandie;Agence de l'État;;;;10;10;10;13
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de Poitou Charentes;Agence de l'État;;;;5;14;6;14
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de Provence-Alpes-Côte d'Azur;Agence de l'État;;;;34;50;50;50
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier de Vendée;Agence de l'État;;;;0;4;19;7
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier des Hauts-de-Seine;Agence de l'État;;;;73;16;72;16
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier des Yvelines;Agence de l'État;;;;16;21;16;21
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier du Val d'Oise;Agence de l'État;;;;4;12;4;12
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local Béarn - Pyrénées;Agence locale;;;;1;1;1;1
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local d'Agen;Agence locale;;;;0;0;0;0
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local de Castre Mazamet;Agence locale;;;;0;0;0;0
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local de la région grenobloise;Agence locale;;;;0;7;8;8
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local de la Savoie;Agence locale;;;;3;2;2;2
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local de Montauban;Agence locale;;;;1;0;0;0
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local de Perpignan-Méditerranée;Agence locale;;;;0;5;3;3
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local des collectivités de Côte-d'Or;Agence locale;;;;4;4;4;3
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local des Landes;Agence locale;;;;11;0;0;1
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local du Bas Rhin;Agence locale;;;;0;1;1;1
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local du département de la Haute-Savoie;Agence locale;;;;12;4;4;4
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local du département de l'Oise;Agence locale;;;;0;6;6;6
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local du Doubs;Agence locale;;;;2;4;4;4
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local du Grand Toulouse;Agence locale;;;;4;14;14;14
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local du Loiret;Agence locale;;;;0;0;0;1
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier local du Pays basque;Agence locale;;;;32;3;3;2
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissement public foncier Nord-Pas-de-Calais;Agence de l'État;;;;21;65;21;80
48;Taxe spéciale d'équipement;article 1607 bis, 1607 ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F;code général des impôts;Établissements publics fonciers;Agence de l'État;219;235;281;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement du Puy de Dôme;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public de la Basse Seine;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public foncier Argenteuil-Bezons;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public foncier d'aménagement de la Guyane;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public foncier de Lorraine;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public foncier de l'Ouest Rhône-Alpes;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public foncier de Provence-Alpes-Côte d'Azur;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public foncier local de la région grenobloise;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608, 1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;Établissement public foncier Nord-Pas-de-Calais;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608,1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Guadeloupe";Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 1607 bis, 1608,1609, 1609 A, 1609 B, 1609C, 1609C, 1609D, 1609 E, 1609 F,;code général des impôts;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Martinique";Agence de l'État;;;;;;;
374;Taxe spéciale d'équipement pour la région Ile-de-France;article 1609 G;code général des impôts;Société du Grand Paris;Agence de l'État;;;;0;117;117;117
435;Produits des jeux exploités par la Française des Jeux;article 1609 novovicies;code général des impôts;Centre national pour le développement du sport;Agence de l'État;;;;168;171;195;174
9877;"Prélèvement complémentaire 2011-2015 sur le prélèvement sur les sommes misées sur les jeux exploités par la Française des jeux, à l'exception des paris sportifs, en vue du financement des enceintes sportives destinées à accueillir ""l' UEFA Euro 2016""";article 1609 novovicies;code général des impôts;Centre national pour le développement du sport;Agence de l'État;;;;;24;;24
334;Contribution perçue au profit de l'Institut national de prévention et d'éducation pour la santé (INPES);article 1609 octovicies;code général des impôts;Institut national de prévention et d'éducation pour la santé;Agence de l'État;0;0;1;0;0;0;0
57;Taxe d'aéroport;article 1609 quatervicies;code général des impôts;Personnes publiques ou privées exploitant des aérodromes;Agence locale;637;748;731;783;864;895;920
181;Taxes sur les nuisances sonores aéroportuaires;article 1609 quatervicies A;code général des impôts;Personnes publiques ou privées exploitant des aérodromes;Agence locale;;62;58;57;56;57;58
9917;Taxe pour le développement de la formation professionnelle dans le bâtiment et les travaux publics;article 1609 quinvicies;code général des impôts;Comité central de coordination de l'apprentissage du bâtiment et des travaux publics;Contribution rendue obligatoire par l'État;;;;;;;
62;Taxe d'abattage;article 1609 sepvicies;code général des impôts;FranceAgriMer;Agence de l'État;90;92;85;76;79;76;80
9916;Taxe additionnelle à la redevance sanitaire d'abattage;article 1609 sepvicies;code général des impôts;Centre national d'aménagement des structures des exploitations agricoles;Agence de l'État;;;;;;;
43;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle;article 1609 sexvicies I;code général des impôts;Association nationale pour la formation automobile;Contribution rendue obligatoire par l'État;28;29;28;29;31;32;32
1462;Contribution sur les mises jouées sur les paris sportifs en ligne de la Française des jeux et des nouveaux opérateurs agréés;article 1609 tricies;code général des impôts;Centre national pour le développement du sport;Agence de l'État;;;;13;27;28;31
237;Taxe sur l'édition des ouvrages de librairie;article 1609 undecies à quindecies;code général des impôts;Centre national du livre;Agence de l'État;5;5;5;5;6;5;5
238;Taxe sur les appareils de reproduction ou d'impression;article 1609 undecies à quindecies;code général des impôts;Centre national du livre;Agence de l'État;28;27;21;28;33;30;29
9913;Redevance sur l'emploi de la reprographie;article 1609 undecies à quindecies;code général des impôts;Centre national du livre;Agence de l'État;;;;;;;
214;Taxe spéciale sur les huiles végétales, fluides ou concrètes, destinées à l'alimentation humaine;article 1609 vicies;code général des impôts;Caisse centrale de la mutualité sociale agricole;Réaffectation aux organismes de sécurité sociale;118;120;123;112;122;133;133
6;Droit sur les bières et les boissons non alcoolisées;article 1613 bis;code général des impôts;Caisse centrale de la mutualité sociale agricole;Réaffectation aux organismes de sécurité sociale;;;;375;375;370;370
7;Taxe sur les prémix;article 1613 bis;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;0;0;;;;;
978;Taxe portant sur les quantités de farines, semoules et gruaux de blé tendre livrées ou mises en oeuvre en vue de la consommation humaine;article 1618 septies;code général des impôts;Caisse centrale de la mutualité sociale agricole;Réaffectation aux organismes de sécurité sociale;;;;63;63;63;65
978;Taxe portant sur les quantités de farines, semoules et gruaux de blé tendre livrées ou mises en oeuvre en vue de la consommation humaine;article 1618 septies;code général des impôts;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;67;65;65;;;;
63;Taxe sur les céréales;article 1619;code général des impôts;FranceAgriMer;Agence de l'État;17;19;21;20;20;20;20
9906;Contribution forfaitaire des organismes assureurs et contribution forfaitaire des organismes participant à la gestion du régime prévu par la loi n° 2001-1128 du 30 novembre 2001;article 1622;code général des impôts;Fonds commun des accidents du travail agricole;Affectation initiale aux organismes de sécurité sociale;20;19;19;18;;;
43;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle;article 16309 quinvicies M;code général des impôts;Association nationale pour la formation automobile;Contribution rendue obligatoire par l'État;;;;;;;
124;Taxe applicable lors du renouvellement des autorisations de travail aux travailleurs étrangers;article 1635 bis;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
58;Contributions additionnelles aux primes ou cotisations afférentes à certaines conventions d'assurance;article 1635 bis A et 1635 bis AA;code général des impôts;Fonds national de garantie des risques agricoles et fonds de calamités agricoles dans les départements d'outre-mer;Contribution rendue obligatoire par l'État;91;91;91;100;102;102;102
281;Prélèvement sur le produit des primes ou cotisations additionnelles relatives à la garantie contre le risque de catastrophes naturelles;article 1635 bis AD;code général des impôts;Fonds de prévention des risques naturels majeurs;Contribution rendue obligatoire par l'État;;67;161;158;175;175;175
9927;Prélèvement sur le produit des primes ou cotisations additionnelles relatives à la garantie contre le risque de catastrophes naturelles;article 1635 bis AD;code général des impôts;Fonds de prévention des risques naturels majeurs;Contribution rendue obligatoire par l'État;;;;;;;
41;Taxe destinée à financer le développement des actions de formation professionnelle dans les transports routiers;article 1635 bis M;code général des impôts;Association pour le développement de la formation professionnelle dans les transports;Organisme professionnel;66;68;60;57;66;65;65
259;Taxe sur les voitures particulières les plus polluantes;article 1635 bis O;code général des impôts;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;;;;;;
9889;Droit affecté au fonds d’indemnisation de la profession d’avoués près les cours d’appel;article 1635 bis P;code général des impôts;Fonds d'indemnisation de la profession d'avoués près les cours d'appel;Contribution rendue obligatoire par l'État;;;;0;0;16;41
202;Taxe applicable aux demandes de validation d'une attestation d'accueil;article 1635 bis-0 A;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;13;15;15;8;8;6;8
127;Taxe perçue à l'occasion de la délivrance du premier titre de séjour;article 1635-0 bis;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;;20;20;47;41;54;46
755;Taxe de renouvellement (et fourniture de duplicatas) du titre de séjour;article 1635-0 bis;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;24;24;24;32;53;37;58
795;Taxe due par les employeurs de main-d'oeuvre étrangère permanente;article 1635-0 bis;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;0;0;21;29;26;30;26
815;Taxe due par les employeurs de main-d'oeuvre étrangère temporaire;article 1635-0 bis;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;0;0;2;1;1;1;1
816;Taxe due par les employeurs de main-d'oeuvre étrangère saisonnière;article 1635-0 bis;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;0;0;2;3;2;3;2
35;Taxe d'apprentissage - versements aux centres de formation d'apprentis et aux établissements publics ou privés d'enseignement technologique et professionnel;article 224 et suivants;code général des impôts;Divers établissements de formation;Contribution rendue obligatoire par l'État;;;2010;1979;2170;2170;2170
35;Taxe d'apprentissage - versements aux centres de formation d'apprentis et aux établissements publics ou privés d'enseignement technologique et professionnel;article 224 et suivants;code général des impôts;Établissements de formation;Contribution rendue obligatoire par l'État;1348;1354;;;;;
