uid,tax-identifier,tax-name,article,corpus,organisme-affectataire,classification,date,montant
1055,34,"Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale",article L. 6331-48,code du travail,Fonds d'assurance formation (FAF) des professions concernées,Contribution rendue obligatoire par l'État,2008-01-01,67.0
1056,34,"Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale",article L. 6331-48,code du travail,Fonds d'assurance formation (FAF) des professions concernées,Contribution rendue obligatoire par l'État,2009-01-01,83.0
1057,34,"Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale",article L. 6331-48,code du travail,Fonds d'assurance formation (FAF) des professions concernées,Contribution rendue obligatoire par l'État,2010-01-01,84.0
1058,34,"Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale",article L. 6331-48,code du travail,Fonds d'assurance formation (FAF) des professions concernées,Contribution rendue obligatoire par l'État,2011-01-01,58.0
1059,34,"Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale",article L. 6331-48,code du travail,Fonds d'assurance formation (FAF) des professions concernées,Contribution rendue obligatoire par l'État,2012-01-01,91.0
1060,34,"Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale",article L. 6331-48,code du travail,Fonds d'assurance formation (FAF) des professions concernées,Contribution rendue obligatoire par l'État,2013-01-01,93.0
1061,9994,"Participation au financement de la formation des professions non salariées (Peche et culture) correspondant au minimum à 0,15% au du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) Peche et cultures marines,Contribution rendue obligatoire par l'État,2011-01-01,0.0
1062,9994,"Participation au financement de la formation des professions non salariées (Peche et culture) correspondant au minimum à 0,15% au du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) Peche et cultures marines,Contribution rendue obligatoire par l'État,2012-01-01,0.0
1063,9994,"Participation au financement de la formation des professions non salariées (Peche et culture) correspondant au minimum à 0,15% au du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) Peche et cultures marines,Contribution rendue obligatoire par l'État,2013-01-01,0.0
1064,9995,"Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) des entrepreneurs du vivant,Contribution rendue obligatoire par l'État,2007-01-01,37.0
1065,9995,"Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) des entrepreneurs du vivant,Contribution rendue obligatoire par l'État,2008-01-01,39.0
1066,9995,"Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) des entrepreneurs du vivant,Contribution rendue obligatoire par l'État,2009-01-01,41.0
1067,9995,"Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) des entrepreneurs du vivant,Contribution rendue obligatoire par l'État,2010-01-01,43.0
1068,9995,"Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) des entrepreneurs du vivant,Contribution rendue obligatoire par l'État,2011-01-01,45.0
1069,9995,"Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) des entrepreneurs du vivant,Contribution rendue obligatoire par l'État,2012-01-01,47.0
1070,9995,"Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS",article L. 6331-53,code du travail,Fonds d'assurance formation (FAF) des entrepreneurs du vivant,Contribution rendue obligatoire par l'État,2013-01-01,49.0
1071,29,Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue,article L. 6331-9,code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2008-01-01,2750.0
1072,29,Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue,article L. 6331-9,code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2009-01-01,2901.0
1073,9992,"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)",article L. 6331-9,code du travail,Multiples (association),Contribution rendue obligatoire par l'État,2007-01-01,4264.0
1074,9992,"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)",article L. 6331-9,code du travail,Multiples (association),Contribution rendue obligatoire par l'État,2008-01-01,4283.0
1075,9992,"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)",article L. 6331-9,code du travail,Multiples (association),Contribution rendue obligatoire par l'État,2009-01-01,4315.0
1076,9992,"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)",article L. 6331-9,code du travail,Multiples (association),Contribution rendue obligatoire par l'État,2010-01-01,4369.0
1077,9992,"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)",article L. 6331-9,code du travail,Multiples (association),Contribution rendue obligatoire par l'État,2011-01-01,5167.0
1078,9992,"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)",article L. 6331-9,code du travail,Multiples (association),Contribution rendue obligatoire par l'État,2012-01-01,5296.0
1079,9992,"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)",article L. 6331-9,code du travail,Multiples (association),Contribution rendue obligatoire par l'État,2013-01-01,5349.0
1080,29,Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue,article L. 6331-9 et article L. 6331-14,code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2010-01-01,3059.0
1081,29,Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue,article L. 6331-9 et article L. 6331-14,code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2011-01-01,3145.0
1082,29,Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue,article L. 6331-9 et article L. 6331-14,code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2012-01-01,3145.0
1083,29,Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue,article L. 6331-9 et article L. 6331-14,code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2013-01-01,3145.0
1084,126,Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail,"article L. 8253-1, R.8253-1, R.8253-8, R.8253-11, R.8253-13, R.8253-14 et D.8254-11",code du travail,Office français de l'immigration et de l'intégration,Agence de l'État,2008-01-01,8.0
1085,126,Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail,"article L. 8253-1, R.8253-1, R.8253-8, R.8253-11, R.8253-13, R.8253-14 et D.8254-11",code du travail,Office français de l'immigration et de l'intégration,Agence de l'État,2009-01-01,8.0
1086,126,Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail,"article L. 8253-1, R.8253-1, R.8253-8, R.8253-11, R.8253-13, R.8253-14 et D.8254-11",code du travail,Office français de l'immigration et de l'intégration,Agence de l'État,2010-01-01,4.0
1087,126,Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail,"article L. 8253-1, R.8253-1, R.8253-8, R.8253-11, R.8253-13, R.8253-14 et D.8254-11",code du travail,Office français de l'immigration et de l'intégration,Agence de l'État,2011-01-01,4.0
1088,126,Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail,"article L. 8253-1, R.8253-1, R.8253-8, R.8253-11, R.8253-13, R.8253-14 et D.8254-11",code du travail,Office français de l'immigration et de l'intégration,Agence de l'État,2012-01-01,4.0
1089,126,Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail,"article L. 8253-1, R.8253-1, R.8253-8, R.8253-11, R.8253-13, R.8253-14 et D.8254-11",code du travail,Office français de l'immigration et de l'intégration,Agence de l'État,2013-01-01,2.0
1090,30,Participation des employeurs occupant moins de 10 salariés au développement de la formation professionnelle continue,article R. 6331-2 (2°),code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2008-01-01,430.0
1091,30,Participation des employeurs occupant moins de 10 salariés au développement de la formation professionnelle continue,article R. 6331-2 (2°),code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2009-01-01,421.0
1092,31,"Participation des employeurs occupant 10 salariés ou plus au financement du congé individuel de formation des salariés (0,2% des rémunérations)",article R. 6331-9 (1°),code du travail,Organismes paritaires agréés au titre du congé individuel de formation,Contribution rendue obligatoire par l'État,2008-01-01,720.0
1093,31,"Participation des employeurs occupant 10 salariés ou plus au financement du congé individuel de formation des salariés (0,2% des rémunérations)",article R. 6331-9 (1°),code du travail,Organismes paritaires agréés au titre du congé individuel de formation,Contribution rendue obligatoire par l'État,2010-01-01,716.0
1094,40,"Contribution pour le financement des contrats et périodes de professionnalisation et du droit individuel à la formation à 0,15% et 0,5%",article R. 6331-9 (2°) et R. 6331-2 (1°),code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2008-01-01,1940.0
1095,40,"Contribution pour le financement des contrats et périodes de professionnalisation et du droit individuel à la formation à 0,15% et 0,5%",article R. 6331-9 (2°) et R. 6331-2 (1°),code du travail,Organismes paritaires collecteurs agréés,Contribution rendue obligatoire par l'État,2010-01-01,1968.0
1096,9880,Prélèvement sur les contrats participation et intéressement en déshérence,Livre III de la partie III,code du travail,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2010-01-01,10.0
1097,9880,Prélèvement sur les contrats participation et intéressement en déshérence,Livre III de la partie III,code du travail,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2011-01-01,0.0
1098,9880,Prélèvement sur les contrats participation et intéressement en déshérence,Livre III de la partie III,code du travail,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2012-01-01,0.0
1099,9880,Prélèvement sur les contrats participation et intéressement en déshérence,Livre III de la partie III,code du travail,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2013-01-01,0.0
1100,9890,Cotisation des chambres d'agriculture aux organisations représentatives de communes forestières,article L. 141-4,code forestier,Fonds national de péréquation et d'action professionnelle des chambres d'agriculture,Monde consulaire,2010-01-01,0.0
1101,9891,Cotisation des chambres d'agriculture au Centre national de la propriété forestière,article L. 221-9,code forestier,Fonds national de péréquation et d'action professionnelle des chambres d'agriculture,Monde consulaire,2010-01-01,0.0
1102,9872,Prélèvement sur les contrats d'assurance-vie en déshérence,article L. 1126-1 5°,code général de la propriété des personnes publiques,Fonds de réserve pour les retraites,Affectation initiale aux organismes de sécurité sociale,2007-01-01,10.0
1103,9872,Prélèvement sur les contrats d'assurance-vie en déshérence,article L. 1126-1 5°,code général de la propriété des personnes publiques,Fonds de réserve pour les retraites,Affectation initiale aux organismes de sécurité sociale,2008-01-01,10.0
1104,9872,Prélèvement sur les contrats d'assurance-vie en déshérence,article L. 1126-1 5°,code général de la propriété des personnes publiques,Fonds de réserve pour les retraites,Affectation initiale aux organismes de sécurité sociale,2009-01-01,10.0
1105,9872,Prélèvement sur les contrats d'assurance-vie en déshérence,article L. 1126-1 5°,code général de la propriété des personnes publiques,Fonds de réserve pour les retraites,Affectation initiale aux organismes de sécurité sociale,2010-01-01,10.0
1106,9872,Prélèvement sur les contrats d'assurance-vie en déshérence,article L. 1126-1 5°,code général de la propriété des personnes publiques,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2011-01-01,10.0
1107,9872,Prélèvement sur les contrats d'assurance-vie en déshérence,article L. 1126-1 5°,code général de la propriété des personnes publiques,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2012-01-01,10.0
1108,9872,Prélèvement sur les contrats d'assurance-vie en déshérence,article L. 1126-1 5°,code général de la propriété des personnes publiques,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2013-01-01,10.0
1109,55,Versement de transport dû par les entreprises de plus de 9 salariés implantées en province,article L. 2333-64,code général des collectivités territoriales,Autorités organisatrices des transports urbains,Agence locale,2007-01-01,2746.0
1110,55,Versement de transport dû par les entreprises de plus de 9 salariés implantées en province,article L. 2333-64,code général des collectivités territoriales,Autorités organisatrices des transports urbains,Agence locale,2008-01-01,2787.0
1111,55,Versement de transport dû par les entreprises de plus de 9 salariés implantées en province,article L. 2333-64,code général des collectivités territoriales,Autorités organisatrices des transports urbains,Agence locale,2009-01-01,2794.0
1112,55,Versement de transport dû par les entreprises de plus de 9 salariés implantées en province,article L. 2333-64,code général des collectivités territoriales,Autorités organisatrices des transports urbains,Agence locale,2010-01-01,2966.0
1113,55,Versement de transport dû par les entreprises de plus de 9 salariés implantées en province,article L. 2333-64,code général des collectivités territoriales,Autorités organisatrices des transports urbains,Agence locale,2011-01-01,3396.0
1114,55,Versement de transport dû par les entreprises de plus de 9 salariés implantées en province,article L. 2333-64,code général des collectivités territoriales,Autorités organisatrices des transports urbains,Agence locale,2012-01-01,3362.0
1115,55,Versement de transport dû par les entreprises de plus de 9 salariés implantées en province,article L. 2333-64,code général des collectivités territoriales,Autorités organisatrices des transports urbains,Agence locale,2013-01-01,3453.0
1116,206,Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France,article L. 2531-2,code général des collectivités territoriales,Syndicat des transports d'Ile-de-France,Agence locale,2007-01-01,2049.0
1117,206,Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France,article L. 2531-2,code général des collectivités territoriales,Syndicat des transports d'Ile-de-France,Agence locale,2008-01-01,2971.0
1118,206,Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France,article L. 2531-2,code général des collectivités territoriales,Syndicat des transports d'Ile-de-France,Agence locale,2009-01-01,2979.0
1119,206,Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France,article L. 2531-2,code général des collectivités territoriales,Syndicat des transports d'Ile-de-France,Agence locale,2010-01-01,3025.0
1120,206,Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France,article L. 2531-2,code général des collectivités territoriales,Syndicat des transports d'Ile-de-France,Agence locale,2011-01-01,3296.0
1121,206,Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France,article L. 2531-2,code général des collectivités territoriales,Syndicat des transports d'Ile-de-France,Agence locale,2012-01-01,3262.0
1122,206,Versement de transport dû par les entreprises de plus de 9 salariés implantées en Ile de France,article L. 2531-2,code général des collectivités territoriales,Syndicat des transports d'Ile-de-France,Agence locale,2013-01-01,3395.0
1123,183,Contribution de solidarité sur les billets d'avion,§ VI de l'article 302 bis K,code général des impôts,Fonds de solidarité pour le développement,Agence de l'État,2007-01-01,164.0
1124,183,Contribution de solidarité sur les billets d'avion,§ VI de l'article 302 bis K,code général des impôts,Fonds de solidarité pour le développement,Agence de l'État,2008-01-01,173.0
1125,183,Contribution de solidarité sur les billets d'avion,§ VI de l'article 302 bis K,code général des impôts,Fonds de solidarité pour le développement,Agence de l'État,2009-01-01,162.0
1126,183,Contribution de solidarité sur les billets d'avion,§ VI de l'article 302 bis K,code général des impôts,Fonds de solidarité pour le développement,Agence de l'État,2010-01-01,163.0
1127,183,Contribution de solidarité sur les billets d'avion,§ VI de l'article 302 bis K,code général des impôts,Fonds de solidarité pour le développement,Agence de l'État,2011-01-01,175.0
1128,183,Contribution de solidarité sur les billets d'avion,§ VI de l'article 302 bis K,code général des impôts,Fonds de solidarité pour le développement,Agence de l'État,2012-01-01,173.0
1129,183,Contribution de solidarité sur les billets d'avion,§ VI de l'article 302 bis K,code général des impôts,Fonds de solidarité pour le développement,Agence de l'État,2013-01-01,175.0
1130,181,Taxes sur les nuisances sonores aéroportuaires,art 1609 quaterdecies section 6 bis,code général des impôts,Personnes publiques ou privées exploitant des aérodromes,Agence locale,2007-01-01,51.0
1131,9951,Taxe sur les conventions d'assurances sur les contrats assurance-maladie,article 1001 2° bis,code général des impôts,Multiples (social),Réaffectation aux organismes de sécurité sociale,2010-01-01,0.0
1132,9951,Taxe sur les conventions d'assurances sur les contrats assurance-maladie,article 1001 2° bis,code général des impôts,Multiples (social),Réaffectation aux organismes de sécurité sociale,2011-01-01,1066.0
1133,9951,Taxe sur les conventions d'assurances sur les contrats assurance-maladie,article 1001 2° bis,code général des impôts,Multiples (social),Réaffectation aux organismes de sécurité sociale,2012-01-01,2000.0
1134,9951,Taxe sur les conventions d'assurances sur les contrats assurance-maladie,article 1001 2° bis,code général des impôts,Multiples (social),Réaffectation aux organismes de sécurité sociale,2013-01-01,2060.0
1135,1140,Taxe sur les véhicules de société,article 1010,code général des impôts,Régime de protection sociale des non salariés agricoles,Réaffectation aux organismes de sécurité sociale,2008-01-01,753.0
1136,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Agence de financement des infrastructures de transport de France,Agence de l'État,2010-01-01,0.0
1137,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Agence de financement des infrastructures de transport de France,Agence de l'État,2011-01-01,0.0
1138,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Agence de financement des infrastructures de transport de France,Agence de l'État,2012-01-01,0.0
1139,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Agence de financement des infrastructures de transport de France,Agence de l'État,2013-01-01,0.0
1140,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Autorités organisatrices des transports urbains,Agence locale,2010-01-01,0.0
1141,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Autorités organisatrices des transports urbains,Agence locale,2011-01-01,0.0
1142,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Autorités organisatrices des transports urbains,Agence locale,2012-01-01,0.0
1143,1586,Taxe forfaitaire sur le produit de la valorisation des terrains nus et immeubles bâtis résultant de la réalisation d'infrastructures de transport collectif en site propre ou d'infrastructures ferroviaires hors Ile-de-France,article 1531,code général des impôts,Autorités organisatrices des transports urbains,Agence locale,2013-01-01,0.0
1144,537,Taxe annuelle d'habitation sur les résidences mobiles terrestres,article 1595 quater,code général des impôts,"Fonds départemental d'aménagement, de maintenance et de gestion des aires d'accueil des gens du voyage",Agence locale,2007-01-01,0.0
1145,537,Taxe annuelle d'habitation sur les résidences mobiles terrestres,article 1595 quater,code général des impôts,"Fonds départemental d'aménagement, de maintenance et de gestion des aires d'accueil des gens du voyage",Agence locale,2008-01-01,0.0
1146,537,Taxe annuelle d'habitation sur les résidences mobiles terrestres,article 1595 quater,code général des impôts,"Fonds départemental d'aménagement, de maintenance et de gestion des aires d'accueil des gens du voyage",Agence locale,2009-01-01,0.0
1147,537,Taxe annuelle d'habitation sur les résidences mobiles terrestres,article 1595 quater,code général des impôts,"Fonds départemental d'aménagement, de maintenance et de gestion des aires d'accueil des gens du voyage",Agence locale,2010-01-01,0.0
1148,1583,Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP,article 1599 quater A bis,code général des impôts,Agence de financement des infrastructures de transport de France,Agence de l'État,2010-01-01,0.0
1149,1583,Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP,article 1599 quater A bis,code général des impôts,Multiples (mixte),Agence de l'État,2009-01-01,60.0
1150,1583,Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP,article 1599 quater A bis,code général des impôts,Société du Grand Paris,Agence de l'État,2010-01-01,60.0
1151,1583,Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP,article 1599 quater A bis,code général des impôts,Société du Grand Paris,Agence de l'État,2011-01-01,60.0
1152,1583,Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP,article 1599 quater A bis,code général des impôts,Société du Grand Paris,Agence de l'État,2012-01-01,60.0
1153,1583,Imposition forfaitaire sur le matériel roulant circulant sur le réseau de transport ferroviaire et guidé géré par la RATP,article 1599 quater A bis,code général des impôts,Société du Grand Paris,Agence de l'État,2013-01-01,60.0
1154,38,Contribution au développement de l'apprentissage,article 1599 quinquies A,code général des impôts,Fonds régionaux de l'apprentissage et de la formation professionnelle continue,Contribution rendue obligatoire par l'État,2007-01-01,661.0
1155,38,Contribution au développement de l'apprentissage,article 1599 quinquies A,code général des impôts,Fonds régionaux de l'apprentissage et de la formation professionnelle continue,Contribution rendue obligatoire par l'État,2008-01-01,690.0
1156,38,Contribution au développement de l'apprentissage,article 1599 quinquies A,code général des impôts,Fonds régionaux de l'apprentissage et de la formation professionnelle continue,Contribution rendue obligatoire par l'État,2009-01-01,720.0
1157,38,Contribution au développement de l'apprentissage,article 1599 quinquies A,code général des impôts,Fonds régionaux de l'apprentissage et de la formation professionnelle continue,Contribution rendue obligatoire par l'État,2010-01-01,724.0
1158,38,Contribution au développement de l'apprentissage,article 1599 quinquies A,code général des impôts,Fonds régionaux de l'apprentissage et de la formation professionnelle continue,Contribution rendue obligatoire par l'État,2011-01-01,734.0
1159,38,Contribution au développement de l'apprentissage,article 1599 quinquies A,code général des impôts,Fonds régionaux de l'apprentissage et de la formation professionnelle continue,Contribution rendue obligatoire par l'État,2012-01-01,758.0
1160,38,Contribution au développement de l'apprentissage,article 1599 quinquies A,code général des impôts,Fonds régionaux de l'apprentissage et de la formation professionnelle continue,Contribution rendue obligatoire par l'État,2013-01-01,776.0
1161,9965,"Taxe due par les concessionnaires de mines d'or, les amodiataires des concessions de mines d'or et les titulaires de permis et d'autorisations d'exploitation de mines d'or exploitées en Guyane (taxe additionnelle aurifère)",article 1599 Quinquies B,code général des impôts,Conservatoire de la biodiversité en Guyane,Agence locale,2010-01-01,0.0
1162,9965,"Taxe due par les concessionnaires de mines d'or, les amodiataires des concessions de mines d'or et les titulaires de permis et d'autorisations d'exploitation de mines d'or exploitées en Guyane (taxe additionnelle aurifère)",article 1599 Quinquies B,code général des impôts,Conservatoire de la biodiversité en Guyane,Agence locale,2011-01-01,0.0
1163,9965,"Taxe due par les concessionnaires de mines d'or, les amodiataires des concessions de mines d'or et les titulaires de permis et d'autorisations d'exploitation de mines d'or exploitées en Guyane (taxe additionnelle aurifère)",article 1599 Quinquies B,code général des impôts,Conservatoire de la biodiversité en Guyane,Agence locale,2012-01-01,0.0
1164,9965,"Taxe due par les concessionnaires de mines d'or, les amodiataires des concessions de mines d'or et les titulaires de permis et d'autorisations d'exploitation de mines d'or exploitées en Guyane (taxe additionnelle aurifère)",article 1599 Quinquies B,code général des impôts,Conservatoire de la biodiversité en Guyane,Agence locale,2013-01-01,0.0
1165,47,Taxe pour frais de chambres de commerce et d'industrie,article 1600,code général des impôts,Multiples (consulaire et professionnel),Monde consulaire,2007-01-01,1161.0
1166,47,Taxe pour frais de chambres de commerce et d'industrie,article 1600,code général des impôts,Multiples (consulaire et professionnel),Monde consulaire,2008-01-01,1215.0
1167,47,Taxe pour frais de chambres de commerce et d'industrie,article 1600,code général des impôts,Multiples (consulaire et professionnel),Monde consulaire,2009-01-01,1275.0
1168,47,Taxe pour frais de chambres de commerce et d'industrie,article 1600,code général des impôts,Multiples (consulaire et professionnel),Monde consulaire,2010-01-01,1196.0
1169,9979,Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région,article 1600 (I et II),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2010-01-01,0.0
1170,9979,Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région,article 1600 (I et II),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2011-01-01,517.0
1171,9979,Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région,article 1600 (I et II),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2012-01-01,517.0
1172,9979,Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région,article 1600 (I et II),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2013-01-01,517.0
1173,9978,Taxe additionnelle à la cotisation sur la valeur ajoutée des entreprises pour frais de chambres de commerce et d'industrie de région,article 1600 (III),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2011-01-01,777.0
1174,9978,Taxe additionnelle à la cotisation sur la valeur ajoutée des entreprises pour frais de chambres de commerce et d'industrie de région,article 1600 (III),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2012-01-01,859.0
1175,9978,Taxe additionnelle à la cotisation sur la valeur ajoutée des entreprises pour frais de chambres de commerce et d'industrie de région,article 1600 (III),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2013-01-01,819.0
1176,9978,Taxe additionnelle à la taxe professionnelle pour frais de chambres de commerce et d'industrie de région,article 1600 (III),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2007-01-01,0.0
1177,9978,Taxe additionnelle à la taxe professionnelle pour frais de chambres de commerce et d'industrie de région,article 1600 (III),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2008-01-01,0.0
1178,9978,Taxe additionnelle à la taxe professionnelle pour frais de chambres de commerce et d'industrie de région,article 1600 (III),code général des impôts,Chambres régionales de commerce et d'industrie,Monde consulaire,2009-01-01,0.0
1179,12,Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle,article 1600-0 F bis,code général des impôts,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2008-01-01,2863.0
